nid	mid	fields
1671547284401	1656929491595	What are the names of the three waves that occur due to earthquakes?	1. P-wave<br>2. S-wave<br>3. Surface waves
1671547504145	1656929491595	Arrange the waves caused by an earthquake in the order of decreasing speed of transmission.	1. P-wave<br>2. S-wave<br>3. surface wave
1671551071792	1656929491595	What are body waves in the context of an earthquake?	These are the waves that travel through the Earth's interior.
1671551122124	1656929491595	What are the names of the different kinds of body waves generated by earthquakes?	1. P-wave or compressional waves<br>2. S-wave or shear waves
1671551140979	1656929491595	What are the two different types of surface waves?	1. Love wave<br>2. Rayleigh wave
1671551328899	1656929491595	What are P-waves?	They are a type of primary waves that are also called compressional waves due to the fact they are waves that travel through periodic compressions and rarefactions (like sound through a media).<br><img alt="P wave animation with particle oscillating in the direction of wave propagation." src="p-wave-animation.gif">
1671551380901	1656929491595	What are S-waves?	They are a type pf body wave also called shear waves, because they travel through shearing, i.e. displacements that are perpendicular to the direction of propagation.<br><img alt="S wave animation with particle oscillating perpendicular to the direction of wave propagation." src="s-wave-animation.gif">
1671551482975	1656929491595	What are Love waves?	<img alt="Love wave animation showing a surface particle oscillating perpendicular to propagation." src="love-wave-animation.gif"><br>It is a type of surface wave
1671551572789	1656929491595	What is a rayleigh wave?	<img alt="Rayleigh wave shows rolling motion of a particle below the surface." src="rayleigh-wave-animation.gif"><br>It is a surface wave. It&nbsp;<i>rolls</i>&nbsp;on the surface, and thus moves the ground up-down + right-left - thus causing the maximum amount of shaking.
1671551616165	1656930274284	19e50a10e1b2401eabefee47c961248f-oa-1		<img src="16748747.png" />	<img src="19e50a10e1b2401eabefee47c961248f-oa-1-Q.svg" />						<img src="19e50a10e1b2401eabefee47c961248f-oa-1-A.svg" />	<img src="19e50a10e1b2401eabefee47c961248f-oa-O.svg" />
1671551616170	1656930274284	19e50a10e1b2401eabefee47c961248f-oa-2		<img src="16748747.png" />	<img src="19e50a10e1b2401eabefee47c961248f-oa-2-Q.svg" />						<img src="19e50a10e1b2401eabefee47c961248f-oa-2-A.svg" />	<img src="19e50a10e1b2401eabefee47c961248f-oa-O.svg" />
1671551616171	1656930274284	19e50a10e1b2401eabefee47c961248f-oa-3		<img src="16748747.png" />	<img src="19e50a10e1b2401eabefee47c961248f-oa-3-Q.svg" />						<img src="19e50a10e1b2401eabefee47c961248f-oa-3-A.svg" />	<img src="19e50a10e1b2401eabefee47c961248f-oa-O.svg" />
1671551650026	1656930274284	d096e222018944638820e5c0df97482f-oa-1		<img src="48420213.png" />	<img src="d096e222018944638820e5c0df97482f-oa-1-Q.svg" />						<img src="d096e222018944638820e5c0df97482f-oa-1-A.svg" />	<img src="d096e222018944638820e5c0df97482f-oa-O.svg" />
1671551650027	1656930274284	d096e222018944638820e5c0df97482f-oa-2		<img src="48420213.png" />	<img src="d096e222018944638820e5c0df97482f-oa-2-Q.svg" />						<img src="d096e222018944638820e5c0df97482f-oa-2-A.svg" />	<img src="d096e222018944638820e5c0df97482f-oa-O.svg" />
1671552203587	1656929491595	What is the process that is used to determine the focus of an earthquake using the readings from seismometers?	Since P-waves move faster than S-waves, the time difference between their arrivals get wider the farther that we get from the focus. By comparing this interval with known travel-time curves, we can determine the distance of the seismograph from the focus of the earthquake.<br><img src="92996505.png"><br>With three such measurements from three different seismographs, we can triangulate the exact position of the focus of the earthquake.
1671552573787	1656929491595	How is the interior of the Earth explored using Seismic waves? Mention just the important properties that are exploited for such investigations.	The fact that the seismic waves are just waves and thus also undergo reflections and refractions is used to study the interior of the earth using seismic waves.
1671552650174	1656929491595	How are seismic waves used to find where liquid exists in the interior of the earth?	S-waves travel via shearing, and thus can not propagate through liquids. Thus, they form a s-wave shadow zone whenever there is a liquid pocket in the path of the seismic wave. These can then be analysed to locate the liquid.
1671553120009	1656929491595	Explain the formation of the s-wave shadow zone.	<img src="19205488.png"><br>The s-wave can not travel through the liquid outer core as liquid does not have a shear modulus.&nbsp; This creates the obvious shadow zone.
1671553203005	1656929491595	Explain the formation of the P-wave shadow zone.	<img src="77749058.png"><br>The reason here is the way that the P-wave undergoes Total Internal reflection at the mantle-outer core boundary, combined with the way that they are refracted through the core.
1671553261024	1656929491595	What do the notation such as SS and PP represent in the context of earthquake waves?	They denote body waves that are reflected by the surface of the earth, i.e. crust.
1671553549020	1656929491595	What do the notation ScS and PcP denote in the context of earthquake waves?	It denotes the body waves that are reflected by the core, at the mantle core boundary.
1671553651273	1656929491595	What does the notation PKP denote?	It denotes a P-wave that has travelled through the liquid outer core.
1671553686999	1656929491595	What does the notation PKiKP denote?	It denotes the P-Wave that travelled through the liquid outer core and was reflected by the solid inner core.
1671553875092	1656929491595	What does the notation PKIKP denote?	It denotes a P-wave that has travelled through the solid inner core.
1671554060911	1656929491595	What does the PKJKP notation denote?	It denotes a P-Wave that transformed into a S-wave at the Inner core boundary, and travelled through the inner core as an S-Wave, and then converting back to a P-wave at the ICB.
1671554239806	1656929491595	Draw (roughly) the graph that shows the variation of the speed of the P and S waves through the interior of the earth, vs depth.	<img src="84320007.png">
1671554348515	1656929491595	Draw (roughly) the graph that shows the change in the speed of transmission of only the s-wave through the interior of the earth, vs the depth.	<img src="29413756.png">
1671554842518	1656930274284	2ebb396ae03649cb8f23531d4cf28ad6-oa-1		<img src="95771981.png" />	<img src="2ebb396ae03649cb8f23531d4cf28ad6-oa-1-Q.svg" />						<img src="2ebb396ae03649cb8f23531d4cf28ad6-oa-1-A.svg" />	<img src="2ebb396ae03649cb8f23531d4cf28ad6-oa-O.svg" />
1671554842521	1656930274284	2ebb396ae03649cb8f23531d4cf28ad6-oa-2		<img src="95771981.png" />	<img src="2ebb396ae03649cb8f23531d4cf28ad6-oa-2-Q.svg" />						<img src="2ebb396ae03649cb8f23531d4cf28ad6-oa-2-A.svg" />	<img src="2ebb396ae03649cb8f23531d4cf28ad6-oa-O.svg" />
1671554877465	1656929491595	Draw the geotherm of the interior of the earth.	<img src="60066235.png">
1671554950811	1656929491595	Draw the geobar (pressure vs depth) of the interior of the earth.	<img src="74022032.png">
1671555007799	1656929491595	Draw the change in the density of the interior of the earth vs the depth.	<img src="69832432.png">
1671555088706	1656929491595	What are the main source of heat for the interior of the earth?	1. The kinetic energy stored from the collisions of the planetesimals and other bodies that collided to form the earth.<br>2. The gravitational energy that was released by differentiation of the core.<br>3. Heat released by radioactive decay of unstable nuclei.
1671556620642	1656929491595	How is the internal heat of the Earth mainly transmitted in the lithosphere?	Through conduction
1671556674225	1656929491595	How is the heat transported in the mantle? How does this affect the geotherm inside the mantle?	It is transported through convection, which in theory should homogenise the temperature inside the mantle.
1671556730301	1656929491595	Which geotherm has a lower gradient than the other - oceanic geotherm or continental geotherm?	In all estimation, the continental geotherm akways has a lower temperature than the oceanic geotherm.
1671556879334	1656929491595	Where does the earth lose most of its heat?	It loses most of its heat at the mid-ocean ridges where the magma rises to fill the cracks that are formed when the tectonic plates pull apart.
1671556925913	1656929491595	Which emits more heat, continental crust or old oceanic crust? Why?	Continental crust emits more heat than the old oceanic crust because it has higher amounts of heat-producing radioactive isotopes.
1671557175943	1656929491595	Why is the asthenosphere right under the crust molten and ductile while the mantle underneath is not as pliable?	This is because the geotherm at the asthenosphere temporarily crosses the mantle melting curve - meaning that the peridotite that forms the majority of this layer begins to melt. In most of the rest of the mantle, the geotherm is always below the mantle melting curve.
1671566843802	1656929491595	What is a mineral?	A mineral is a naturally occuring crystalline (inorganic) solid with a definite, but not necessarily fixed, chemical composition.
1671566929142	1656929491595	Write the chemical formula of Olivine.	M<sub>2</sub>SiO<sub>4</sub>
1671625051948	1656929491595	Write down the expression for the g(r) relation.	<img src="45557850.png"><br>k = Boltzmann const<br>T = temperature<br>\(\epsilon\) = Energy (?)<br>Of what? I don't know, really
1671625196422	1656929491595	What are the names of the two different kinds of representation of the potential of atoms?	1. Hard Sphere (HS) potential<br>2. Lennard-Jones (LJ) potential
1671625235738	1656929491595	Draw the hard sphere potential for an atom.	<img src="97143176.png">
1671625256904	1656929491595	Draw the Lennard Jones potential for an atom.	<img src="47027340.png">
1671627075418	1656929491595	What is the expression for the potential in Lennard Jones Potential of an atom?	<img src="13207542.png"><br>\(\sigma\) = minimum distance of approach<br>r = radial distance between the atoms<br>\(\epsilon\) = Energy
1671627137706	1656929491595	Draw how the graph of g(r) must look in HS crystals.	<img src="40798611.png">
1671627174831	1656929491595	Draw the graph of g(r) in irregular liquids/gases LJ potential.	<img src="61101965.png">
1671628143795	1656929491595	How are the structures of material mapped using the properties of g(r)?	It is done using the phenomena of scattering of light.<br>Light is scattered off the surface of the material, and the intensity of the scattering is then recorded. This intensity information is then Fourier Transformed into g(r) (with some intermediate algebriac steps)
